,AAPL,MSFT,AMZN,GOOGL,NVDA,CAT,ABT,JPM,V,MA,NFLX,UNH,MCK,PG,HD,XOM,CVX,WMT,KO,MMM,BAC,C,GS,JCI,IBM,INTC,CSCO,BA,GE,MCD
AAPL,0.00032,0.00020,0.00020,0.00019,0.00029,0.00013,0.00013,0.00013,0.00016,0.00018,0.00020,0.00013,0.00011,0.00009,0.00015,0.00009,0.00011,0.00009,0.00008,0.00012,0.00014,0.00015,0.00015,0.00013,0.00012,0.00019,0.00015,0.00018,0.00014,0.00010
MSFT,0.00020,0.00029,0.00021,0.00020,0.00031,0.00013,0.00014,0.00014,0.00016,0.00018,0.00022,0.00013,0.00010,0.00009,0.00015,0.00009,0.00011,0.00008,0.00008,0.00011,0.00015,0.00016,0.00015,0.00013,0.00011,0.00020,0.00015,0.00018,0.00013,0.00010
AMZN,0.00020,0.00021,0.00043,0.00021,0.00032,0.00011,0.00013,0.00012,0.00016,0.00017,0.00024,0.00011,0.00009,0.00007,0.00014,0.00006,0.00008,0.00007,0.00006,0.00009,0.00013,0.00014,0.00014,0.00011,0.00009,0.00019,0.00013,0.00016,0.00012,0.00009
GOOGL,0.00019,0.00020,0.00021,0.00032,0.00029,0.00012,0.00012,0.00013,0.00015,0.00017,0.00021,0.00012,0.00009,0.00007,0.00014,0.00009,0.00011,0.00007,0.00007,0.00011,0.00015,0.00016,0.00015,0.00012,0.00011,0.00018,0.00014,0.00017,0.00013,0.00009
NVDA,0.00029,0.00031,0.00032,0.00029,0.00094,0.00018,0.00020,0.00018,0.00023,0.00026,0.00033,0.00018,0.00014,0.00011,0.00022,0.00011,0.00014,0.00011,0.00010,0.00015,0.00020,0.00021,0.00021,0.00018,0.00015,0.00029,0.00021,0.00025,0.00019,0.00014
CAT,0.00013,0.00013,0.00011,0.00012,0.00018,0.00035,0.00010,0.00019,0.00014,0.00015,0.00011,0.00011,0.00011,0.00007,0.00013,0.00017,0.00018,0.00006,0.00009,0.00013,0.00022,0.00024,0.00020,0.00015,0.00013,0.00016,0.00013,0.00022,0.00019,0.00010
ABT,0.00013,0.00014,0.00013,0.00012,0.00020,0.00010,0.00022,0.00010,0.00011,0.00012,0.00013,0.00009,0.00008,0.00006,0.00010,0.00008,0.00009,0.00006,0.00006,0.00008,0.00011,0.00012,0.00011,0.00009,0.00009,0.00014,0.00010,0.00013,0.00011,0.00007
JPM,0.00013,0.00014,0.00012,0.00013,0.00018,0.00019,0.00010,0.00030,0.00015,0.00016,0.00012,0.00012,0.00011,0.00007,0.00013,0.00018,0.00020,0.00006,0.00009,0.00013,0.00026,0.00027,0.00023,0.00016,0.00014,0.00017,0.00013,0.00023,0.00020,0.00010
V,0.00016,0.00016,0.00016,0.00015,0.00023,0.00014,0.00011,0.00015,0.00024,0.00016,0.00016,0.00011,0.00010,0.00007,0.00013,0.00011,0.00013,0.00007,0.00008,0.00011,0.00017,0.00018,0.00016,0.00012,0.00011,0.00017,0.00013,0.00018,0.00014,0.00009
MA,0.00018,0.00018,0.00017,0.00017,0.00026,0.00015,0.00012,0.00016,0.00016,0.00028,0.00018,0.00012,0.00011,0.00008,0.00014,0.00012,0.00014,0.00008,0.00008,0.00012,0.00018,0.00019,0.00017,0.00014,0.00012,0.00018,0.00014,0.00020,0.00016,0.00010
NFLX,0.00020,0.00022,0.00024,0.00021,0.00033,0.00011,0.00013,0.00012,0.00016,0.00018,0.00076,0.00011,0.00009,0.00007,0.00014,0.00006,0.00008,0.00007,0.00006,0.00009,0.00013,0.00014,0.00014,0.00012,0.00009,0.00019,0.00013,0.00016,0.00012,0.00009
UNH,0.00013,0.00013,0.00011,0.00012,0.00018,0.00011,0.00009,0.00012,0.00011,0.00012,0.00011,0.00027,0.00008,0.00006,0.00011,0.00009,0.00011,0.00006,0.00007,0.00009,0.00013,0.00014,0.00013,0.00010,0.00009,0.00013,0.00011,0.00014,0.00012,0.00008
MCK,0.00011,0.00010,0.00009,0.00009,0.00014,0.00011,0.00008,0.00011,0.00010,0.00011,0.00009,0.00008,0.00033,0.00006,0.00009,0.00009,0.00011,0.00005,0.00006,0.00009,0.00012,0.00013,0.00012,0.00009,0.00009,0.00011,0.00009,0.00013,0.00011,0.00007
PG,0.00009,0.00009,0.00007,0.00007,0.00011,0.00007,0.00006,0.00007,0.00007,0.00008,0.00007,0.00006,0.00006,0.00014,0.00007,0.00006,0.00007,0.00005,0.00005,0.00006,0.00007,0.00008,0.00007,0.00006,0.00006,0.00009,0.00007,0.00009,0.00007,0.00005
HD,0.00015,0.00015,0.00014,0.00014,0.00022,0.00013,0.00010,0.00013,0.00013,0.00014,0.00014,0.00011,0.00009,0.00007,0.00024,0.00010,0.00012,0.00007,0.00007,0.00011,0.00015,0.00016,0.00014,0.00012,0.00011,0.00016,0.00012,0.00017,0.00014,0.00009
XOM,0.00009,0.00009,0.00006,0.00009,0.00011,0.00017,0.00008,0.00018,0.00011,0.00012,0.00006,0.00009,0.00009,0.00006,0.00010,0.00031,0.00018,0.00005,0.00008,0.00011,0.00021,0.00022,0.00018,0.00013,0.00012,0.00013,0.00011,0.00019,0.00017,0.00008
CVX,0.00011,0.00011,0.00008,0.00011,0.00014,0.00018,0.00009,0.00020,0.00013,0.00014,0.00008,0.00011,0.00011,0.00007,0.00012,0.00018,0.00035,0.00006,0.00009,0.00013,0.00023,0.00025,0.00020,0.00015,0.00013,0.00015,0.00013,0.00022,0.00019,0.00009
WMT,0.00009,0.00008,0.00007,0.00007,0.00011,0.00006,0.00006,0.00006,0.00007,0.00008,0.00007,0.00006,0.00005,0.00005,0.00007,0.00005,0.00006,0.00018,0.00004,0.00005,0.00006,0.00007,0.00006,0.00006,0.00006,0.00008,0.00007,0.00008,0.00006,0.00005
KO,0.00008,0.00008,0.00006,0.00007,0.00010,0.00009,0.00006,0.00009,0.00008,0.00008,0.00006,0.00007,0.00006,0.00005,0.00007,0.00008,0.00009,0.00004,0.00013,0.00007,0.00010,0.00010,0.00009,0.00007,0.00007,0.00009,0.00008,0.00010,0.00009,0.00006
MMM,0.00012,0.00011,0.00009,0.00011,0.00015,0.00013,0.00008,0.00013,0.00011,0.00012,0.00009,0.00009,0.00009,0.00006,0.00011,0.00011,0.00013,0.00005,0.00007,0.00025,0.00015,0.00016,0.00014,0.00011,0.00010,0.00013,0.00011,0.00016,0.00014,0.00008
BAC,0.00014,0.00015,0.00013,0.00015,0.00020,0.00022,0.00011,0.00026,0.00017,0.00018,0.00013,0.00013,0.00012,0.00007,0.00015,0.00021,0.00023,0.00006,0.00010,0.00015,0.00038,0.00031,0.00026,0.00018,0.00015,0.00018,0.00015,0.00027,0.00023,0.00011
C,0.00015,0.00016,0.00014,0.00016,0.00021,0.00024,0.00012,0.00027,0.00018,0.00019,0.00014,0.00014,0.00013,0.00008,0.00016,0.00022,0.00025,0.00007,0.00010,0.00016,0.00031,0.00043,0.00027,0.00019,0.00016,0.00020,0.00016,0.00029,0.00024,0.00012
GS,0.00015,0.00015,0.00014,0.00015,0.00021,0.00020,0.00011,0.00023,0.00016,0.00017,0.00014,0.00013,0.00012,0.00007,0.00014,0.00018,0.00020,0.00006,0.00009,0.00014,0.00026,0.00027,0.00033,0.00017,0.00014,0.00018,0.00014,0.00024,0.00021,0.00011
JCI,0.00013,0.00013,0.00011,0.00012,0.00018,0.00015,0.00009,0.00016,0.00012,0.00014,0.00012,0.00010,0.00009,0.00006,0.00012,0.00013,0.00015,0.00006,0.00007,0.00011,0.00018,0.00019,0.00017,0.00028,0.00011,0.00015,0.00012,0.00019,0.00016,0.00008
IBM,0.00012,0.00011,0.00009,0.00011,0.00015,0.00013,0.00009,0.00014,0.00011,0.00012,0.00009,0.00009,0.00009,0.00006,0.00011,0.00012,0.00013,0.00006,0.00007,0.00010,0.00015,0.00016,0.00014,0.00011,0.00023,0.00013,0.00011,0.00016,0.00013,0.00008
INTC,0.00019,0.00020,0.00019,0.00018,0.00029,0.00016,0.00014,0.00017,0.00017,0.00018,0.00019,0.00013,0.00011,0.00009,0.00016,0.00013,0.00015,0.00008,0.00009,0.00013,0.00018,0.00020,0.00018,0.00015,0.00013,0.00051,0.00015,0.00021,0.00017,0.00011
CSCO,0.00015,0.00015,0.00013,0.00014,0.00021,0.00013,0.00010,0.00013,0.00013,0.00014,0.00013,0.00011,0.00009,0.00007,0.00012,0.00011,0.00013,0.00007,0.00008,0.00011,0.00015,0.00016,0.00014,0.00012,0.00011,0.00015,0.00025,0.00017,0.00014,0.00009
BA,0.00018,0.00018,0.00016,0.00017,0.00025,0.00022,0.00013,0.00023,0.00018,0.00020,0.00016,0.00014,0.00013,0.00009,0.00017,0.00019,0.00022,0.00008,0.00010,0.00016,0.00027,0.00029,0.00024,0.00019,0.00016,0.00021,0.00017,0.00065,0.00023,0.00012
GE,0.00014,0.00013,0.00012,0.00013,0.00019,0.00019,0.00011,0.00020,0.00014,0.00016,0.00012,0.00012,0.00011,0.00007,0.00014,0.00017,0.00019,0.00006,0.00009,0.00014,0.00023,0.00024,0.00021,0.00016,0.00013,0.00017,0.00014,0.00023,0.00049,0.00010
MCD,0.00010,0.00010,0.00009,0.00009,0.00014,0.00010,0.00007,0.00010,0.00009,0.00010,0.00009,0.00008,0.00007,0.00005,0.00009,0.00008,0.00009,0.00005,0.00006,0.00008,0.00011,0.00012,0.00011,0.00008,0.00008,0.00011,0.00009,0.00012,0.00010,0.00017
